ANT1,44.08,48.30,270.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,41.07,50.97,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,19.11,40.38,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C10,35.60,50.36,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,35.66,51.15,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,33.96,53.41,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,33.04,53.35,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,25.31,53.88,179.20,4.7µF,NORDIC_NRF_3_RESC0201_L
C15,32.54,55.02,270.00,1.0µF,NORDIC_NRF_3_RESC0201_L
C16,33.31,55.04,270.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,21.68,53.96,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,21.69,50.46,1.30,12pF,NORDIC_NRF_3_RESC0201_L
C19,5.64,59.35,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,40.16,54.43,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,8.65,34.72,90.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,27.25,45.86,180.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C21,29.42,40.00,270.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C22,41.92,49.03,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,8.91,61.91,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,7.83,61.84,270.00,10uF,NORDIC_NRF_3_RESC0201_L
C25,11.00,57.95,270.00,22uF,NORDIC_NRF_3_RESC0201_L
C27,19.84,44.62,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,33.72,34.17,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,38.19,49.06,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,11.78,34.15,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,22.67,34.17,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,30.23,33.54,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,11.82,57.95,270.00,22uF,NORDIC_NRF_3_RESC0201_L
C34,25.62,32.86,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,31.11,62.39,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,28.48,62.32,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,29.81,62.31,90.00,10uF,NORDIC_NRF_3_RESC0201_L
